FAO commodity group,FAO group code,Family,Corrected Species,Original Species,Authority,Notes
Berries nes,558,Moraceae,Morus alba,Morus alba,L.,
Berries nes,558,Moraceae,Morus nigra ,Morus nigra ,L.,
Berries nes,558,Moraceae,Morus rubra,Morus rubra,L.,
Berries nes,558,Myrtaceae,Myrtus communis ,Myrtus communis ,L.,
Blueberries,552,Ericaceae,Vaccinium corymbosum,Vaccinium corymbosum,L.,
Blueberries,552,Ericaceae,Vaccinium myrtillus,Vaccinium myrtillus,L.,
"Brazil nuts, with shell",216,Lecythidaceae,Bertholletia excelsa,Bertholletia excelsa,Humb. & Bonpl. ,
"Broad beans, horse beans, dry",181,Fabaceae,Vicia faba,Vicia faba,L.,FAO also lists several varieties
Buckwheat,89,Polygonaceae,Fagopyrum esculentum,Fagopyrum esculentum,Moench,
Cabbages and other brassicas,358,Brassicaceae,Brassica oleracea,Brassica oleracea,L.,FAO notes this entails all varieties except B. botrytis
Cabbages and other brassicas,358,Brassicaceae,Brassica rapa,Brassica rapa,L.,FAO lists this as B. chihensis which is a synonym for a subspecies of B. rapa
Canary seed,101,Poaceae,Phalaris canariensis,Phalaris canariensis,L.,
Carobs,461,Fabaceae,Ceratonia siliqua,Ceratonia siliqua,L.,
Carrots and turnips,426,Apiaceae,Daucus carota,Daucus carota subsp. sativus,Hoffm. ,
"Cashew nuts, with shell",217,Anacardiaceae,Anacardium occidentale,Anacardium occidentale,L.,
Cashewapple,591,Anacardiaceae,Anacardium occidentale,Anacardium occidentale,L.,
Cassava,125,Euphorbiaceae,Manihot esculenta ,Manihot esculenta ,Crantz,"FAO also lists M. dulcis and M. utilissima as separate species, but they appear to be synonyms"
Cassava,125,Euphorbiaceae,Manihot palmata,Manihot palmata,Müll.Arg.,
Cassava leaves,378,Euphorbiaceae,Manihot esculenta ,Manihot esculenta ,Crantz,"FAO also lists M. utilissima as separate species, but they appear to be synonyms"
Castor oil seed,265,Euphorbiaceae,Ricinus communis,Ricinus communis,L.,
Cauliflowers and broccoli,393,Brassicaceae,Brassica oleracea,Brassica oleracea,L. ,"FAO lists B. oleracea var. botrytis, and subvarieties cauliflora and cymosa"
"Cereals, nes",108,Amaranthaceae,Amaranthus caudatus ,Amaranthus caudatus ,L.,
"Cereals, nes",108,Chenopodiaceae,Chenopodium pallidicaule ,Chenopodium pallidicaule ,Aellen,
"Cereals, nes",108,Poaceae,Coix lacryma-jobi ,Coix lacryma jobi ,L.,
"Cereals, nes",108,Poaceae,Eragrostis tef,Eragrostis abyssinica,(Jacq.) Link,Synonym is Eragrostis tef (Zuccagni) Trotter
"Cereals, nes",108,Poaceae,Zizania aquatica ,Zizania aquatica ,L.,
Cherries,531,Rosaceae,Prunus avium,Prunus avium,(L.) L.,"Synonym is Cerasus avium (listed on FAO reference set as a separate species, so not included here); also listed are varieties juliana and duracina"
"Cherries, sour",530,Rosaceae,Prunus cerasus,Prunus cerasus,L.,"FAO lists Cerasus acida, but C. acida is commonly listed as a synonym for P. avium (e.g. in FAO group number 531). Removed from this FAO group"
Chestnut,220,Fagaceae,Castanea sativa,Castanea sativa,Mill. ,"FAO also lists Castanea vesca Gaertn. and C. vulgaris as species, but these are synonym for C. sativa so are not included here"
Chick peas,191,Fabaceae,Cicer arietinum,Cicer arientinum,L.,
Chicory roots,459,Asteraceae,Cichorium intybus,Cichorium intybus var. sativum,(Bisch.) Janch.,"FAO lists C. sativum and C. intybus as separate species, but these species are C. intybus var. sativum (a variety bred explicitly for roots)"
"Chillies and peppers, dry",689,Solanaceae,Capsicum annuum ,Capsicum annuum ,L.,"FAO lists C. frutescens as a separate species, but it is a synonym for C. annuum var. annuum so is removed here"
"Chillies and peppers, dry",689,Myrtaceae,Pimenta dioica,Pimenta officinalis,Lindl.,
"Chillies and peppers, green",401,Solanaceae,Capsicum annuum ,Capsicum annuum ,L.,"FAO lists C. frutescens as a separate species, but it is a synonym for C. annuum var. annuum so is removed here"
"Chillies and peppers, green",401,Myrtaceae,Pimenta officinalis,Pimenta officinalis,Lindl.,
Cinnamon (canella),693,Lauraceae,Cinnamomum cassia,Cinnamomum cassia,Nees ex Blume,Common synonym is C. aromaticum Nees
Cinnamon (canella),693,Lauraceae,Cinnamomum verum,Cinnamomum verum,J. Presl ,FAO lists C. zeylanicum but this appears to be a less commonly used synonym for C. verum
Cloves,698,Myrtaceae,Syzygium aromaticum,Syzygium aromaticum,(L.) Merr. & L.M. Perry ,"FAO lists E. caryophyllata and C. aromaticus as species, but these are synonyms for S. aromaticum so are not included here"
"Cocoa, beans",661,Malvaceae,Theobroma cacao,Theobroma cacao,L.,
Coconuts,249,Arecaceae,Cocos nucifera,Cocos nucifera,L.,
"Coffee, green",656,Rubiaceae,Coffea arabica,Coffea arabica,L.,
"Coffee, green",656,Rubiaceae,Coffea canephora,Coffea canephora,Pierre ex Froehner ,FAO lists C. robusta but this is a synonym for C. canephora so is removed here
"Coffee, green",656,Rubiaceae,Coffea liberica,Coffea liberica,W. Bull ex Hiern. ,
Coir,813,Arecaceae,Cocos nucifera,Cocos nucifera,L.,
"Cow peas, dry",195,Fabaceae,Vigna unguiculata,Vigna unguiculata,(L.) Walp. ,"FAO lists V. sinensis, but this is a synonym for a subspecies of V. ungiculata so is not included here. FAO also lists Dolichos sinensis, but this is a synonym for a subspecies of V. ungiculata so is not included here"
Cranberries,554,Ericaceae,Vaccinium macrocarpon,Vaccinium macrocarpon,Aiton,
Cranberries,554,Ericaceae,Vaccinium oxycoccos,Vaccinium oxycoccus,L. ,
Cucumbers and gherkins,397,Cucurbitaceae,Cucumis sativus,Cucumis sativus,L.,
Currants,550,Grossulariaceae,Ribes nigrum,Ribes nigrum,L.,
Currants,550,Grossulariaceae,Ribes rubrum,Ribes rubrum,L.,
Dates,577,Arecaceae,Phoenix dactylifera,Phoenix dactylifera,L.,
Eggplants (aubergines),399,Solanaceae,Solanum melongena,Solanum melongena,L.,
Fibre crops nes,821,Asparagaceae,Furcraea foetida,Furcraea gigantea ,(L.) Haw. ,
Fibre crops nes,821,Asparagaceae,Furcraea macrophylla ,Furcraea macrophylla ,Baker,
Fibre crops nes,821,Poaceae,Lygeum spartum,Lygeum spartum,Loefl. ex L. ,
Fibre crops nes,821,Bromeliaceae,Neoglaziovia variegata ,Neoglaziovia variegata ,(Arruda da Camara) Mez,
Fibre crops nes,821,Xanthorrhoeaceae,Phormium tenax,Phormium tenax,J.R. Forst. & G. Forst. ,
Fibre crops nes,821,Asparagaceae,Samuela carnerosana,Samuela carnerosana,auct. non Trel.,Important synonym is Yucca faxoniana (Trel.) Sarg.
Fibre crops nes,821,Asparagaceae,Sansevieria spp,Sansevieria spp,Thunb.,FAO does not list species here
Fibre crops nes,821,Poaceae,Stipa tenacissima ,Stipa tenacissima ,L.,
Figs,569,Moraceae,Ficus carica,Ficus carica,L.,
Flax fibre and tow,773,Linaceae,Linum usitatissimum,Linum usitatissimum,L.,"FAO does not list any species for this group, so this taxonomy represents flax"
Fonio,94,Poaceae,Digitaria exilis,Digitaria exilis,(Kippist) Stapf ,
Fonio,94,Poaceae,Digitaria iburua,Digitaria iburua,Stapf,
"Fruit, citrus nes",512,Rutaceae,Citrus aurantium,Citrus bergamia ,Risso & Poit.,Synonyms are Citrus x aurantium L. subsp. bergamia (Risso & Poit.) Wight & Arn. ex Engl. 
"Fruit, citrus nes",512,Rutaceae,Citrus medica,Citrus medica,L.,FAO lists this is Citrus medica var. cedrata
"Fruit, citrus nes",512,Rutaceae,Citrus myrtifolia ,Citrus myrtifolia ,Raf.,Not listed on USDA taxonomy checker
"Fruit, citrus nes",512,Rutaceae,Citrus japonica,Fortunella japonica,(Thunb.) Swingle ,
"Fruit, fresh nes",619,Ericaceae,Arbutus unedo,Arbutus unedo,L.,
"Fruit, fresh nes",619,Annonaceae,Asimina triloba ,Asimina triloba ,(L.) Dunal ,
"Fruit, fresh nes",619,Rosaceae,Crataegus azarolus ,Crataegus azarolus ,L.,
"Fruit, fresh nes",619,Rosaceae,Eriobotrya japonica ,Eriobotrya japonica ,(Thunb.) Lindl. ,
"Fruit, fresh nes",619,Sapindaceae,Litchi chinensis,Litchi chinensis,Sonn.,FAO lists Nephelium litchi Cambess. which is a synonym for L. chihensis
"Fruit, fresh nes",619,Rosaceae,Mespilus germanica ,Mespilus germanica ,L.,
"Fruit, fresh nes",619,Cactaceae,Opuntia ficus-indica ,Opuntia ficus-indica ,(L.) Mill. ,
"Fruit, fresh nes",619,Lythraceae,Punica granatum,Punica granatum,L.,
"Fruit, fresh nes",619,Rosaceae,Rosa spp,Rosa spp,L.,
"Fruit, fresh nes",619,Caprifoliaceae,Sambucus nigra ,Sambucus nigra ,L.,
"Fruit, fresh nes",619,Rosaceae,Sorbus aucuparia ,Sorbus aucuparia ,L.,
"Fruit, fresh nes",619,Rosaceae,Sorbus domestica ,Sorbus domestica ,L.,
"Fruit, fresh nes",619,Fabaceae,Tamarindus indica ,Tamarindus indica ,L.,
"Fruit, fresh nes",619,Caricaceae,Vasconcellea x heilbornii,Vasconcellea x heilbornii,(V.M.Badillo) V.M.Badillo,FAO lists this as Carica pentagona
"Fruit, fresh nes",619,Rhamnaceae,Ziziphus jujuba,Zizyphus zizyphus,L. (Karst.),FAO lists this as Zizyphus jujuba Mill. (synonym)
"Fruit, pome nes",542,NA,NA,NA,NA,"FAO does not list any specific taxonomy with this group (""Other pome fruit not separately identified. In some countries apples, pears and quinces are reported under this general category."")"
"Fruit, stone nes",541,NA,NA,NA,NA,"FAO does not list any specific taxonomy with this group: (""Other stone fruit not separately identified. In some countries, apricots, cherries, peaches, nectarines and plums are reported under this general category."")"
"Fruit, tropical fresh nes",603,Annonaceae,Annona cherimola,Annona cherimola,Mill.,"FAO lists this species simply as ""Annona spp."", but then lists ""cherimoya"" as the corresponding product (which corresponds to this species as per USDA)"
"Fruit, tropical fresh nes",603,Annonaceae,Annona reticulata,Annona reticulata,L.,"FAO lists this species under ""Annona spp."", but then lists ""custard apple"" as the corresponding product (which corresponds to this species as per USDA)"
"Fruit, tropical fresh nes",603,Moraceae,Artocarpus altilis,Artocarpus altilis,(Parkinson) Fosberg ,FAO lists this as Artocarpus incise which is a synonym for this species
"Fruit, tropical fresh nes",603,Moraceae,Artocarpus heterophyllus,Artocarpus heterophyllus,Lam.,FAO lists the synonym Artocarpus integrifolius auct.
"Fruit, tropical fresh nes",603,Oxalidaceae,Averrhoa carambola,Averrhoa carambola,L.,
"Fruit, tropical fresh nes",603,Sapotaceae,Calocarpum mammosum,Calocarpum mammosum,(L.) P. Royen ,
"Fruit, tropical fresh nes",603,Sapotaceae,Chrysophyllum cainito,Chrysophyllum cainito,L.,"FAO lists this simply as ""Chrusophyllum spp"", but this secies corresponds to the ""star apple"" and ""cainito"" commonodies that are listed"
"Fruit, tropical fresh nes",603,Sapindaceae,Dimocarpus longan,Dimocarpus longan,Lour.,FAO lists the synonym Nephelium longan (Lour.) Hook.
"Fruit, tropical fresh nes",603,Malvaceae,Durio zibethinus,Durio zibethinus,Murray,
"Fruit, tropical fresh nes",603,Myrtaceae,Acca sellowiana,Feijoa sellowiana ,(O. Berg) O. Berg ,
"Fruit, tropical fresh nes",603,Clusiaceae,Garcinia mangostana,Garcinia mangostana,L.,
"Fruit, tropical fresh nes",603,Clusiaceae,Mammea americana,Mammea americana,L.,
"Fruit, tropical fresh nes",603,Sapotaceae,Manilkara zapota,Manilkara zapota,(L.) P. Royen ,FAO lists the synonym Achras zapota L.
"Fruit, tropical fresh nes",603,Sapindaceae,Nephelium lappaceum,Nephelium lappaceum,L.,
