,Food_code,Main_food_description,novaclass,SR code,SR description,Acceptable List?,Notes
313,11720402,"Similac Isomil, with iron, infant formula, prepared from liquid concentrate",4,14411,"Water, tap, drinking",NA,Baby food
314,11720403,"Similac Isomil, with iron, infant formula, prepared from powder",4,3843,"Infant formula, ABBOTT NUTRITION, SIMILAC, ISOMIL, with iron, powder, not reconstituted, (formerly ROSS)",NA,Baby food
315,11720403,"Similac Isomil, with iron, infant formula, prepared from powder",4,14411,"Water, tap, drinking",NA,Baby food
316,11720410,"Similac Isomil Advance with iron, infant formula, NS as to form",4,3953,"Infant formula, ABBOTT NUTRITION, SIMILAC, ISOMIL, ADVANCE with iron, ready-to-feed, (formerly ROSS)",NA,Baby food
317,11720411,"Similac Isomil Advance with iron, infant formula, ready-to-feed",4,3953,"Infant formula, ABBOTT NUTRITION, SIMILAC, ISOMIL, ADVANCE with iron, ready-to-feed, (formerly ROSS)",NA,Baby food
318,11720412,"Similac Isomil Advance with iron, infant formula, prepared from liquid concentrate",4,3952,"Infant formula, ABBOTT NUTRITION, SIMILAC, ISOMIL, ADVANCE with iron, liquid concentrate, (formerly ROSS)",NA,Baby food
319,11720412,"Similac Isomil Advance with iron, infant formula, prepared from liquid concentrate",4,14411,"Water, tap, drinking",NA,Baby food
320,11720413,"Similac Isomil Advance with iron, infant formula, prepared from powder",4,3954,"Infant formula, ABBOTT NUTRITION, SIMILAC, ISOMIL, ADVANCE with iron, powder, not reconstituted, (formerly ROSS)",NA,Baby food
321,11720413,"Similac Isomil Advance with iron, infant formula, prepared from powder",4,14411,"Water, tap, drinking",NA,Baby food
322,11720600,"Good Start Essentials Soy, with iron, infant formula, NS as to form (formerly Carnation Alsoy; I-Soyalac)",4,3925,"Infant formula, NESTLE, GOOD START ESSENTIALS SOY, with iron, ready-to-feed",NA,Baby food
323,11720601,"Good Start Essentials Soy, with iron, infant formula, ready-to-feed (formerly Carnation Alsoy; I-Soyalac)",4,3925,"Infant formula, NESTLE, GOOD START ESSENTIALS SOY, with iron, ready-to-feed",NA,Baby food
324,11720602,"Good Start Essentials Soy, with iron, infant formula, prepared from liquid concentrate (formerly Carnation Alsoy; I-Soyalac)",4,3926,"Infant formula, NESTLE, GOOD START ESSENTIALS SOY, with iron, liquid concentrate (formerly CARNATION, ALSOY, with iron or I-Soyalac, with iron)",NA,Baby food
325,11720602,"Good Start Essentials Soy, with iron, infant formula, prepared from liquid concentrate (formerly Carnation Alsoy; I-Soyalac)",4,14411,"Water, tap, drinking",NA,Baby food
326,11720603,"Good Start Essentials Soy, with iron, infant formula, prepared from powder (formerly Carnation Alsoy; I-Soyalac)",4,3928,"Infant formula, NESTLE, GOOD START ESSENTIALS SOY, with iron, powder",NA,Baby food
327,11720603,"Good Start Essentials Soy, with iron, infant formula, prepared from powder (formerly Carnation Alsoy; I-Soyalac)",4,14411,"Water, tap, drinking",NA,Baby food
328,11720610,"Good Start Soy, with iron, DHA & ARA, infant formula, NS as to form",4,3859,"Infant formula, NESTLE, GOOD START SOY, with DHA and ARA, ready-to-feed",NA,Baby food
329,11720611,"Good Start Soy, with iron, DHA & ARA, infant formula, ready-to-feed",4,3859,"Infant formula, NESTLE, GOOD START SOY, with DHA and ARA, ready-to-feed",NA,Baby food
330,11720612,"Good Start Soy, with iron, DHA & ARA, infant formula, prepared from liquid concentrate",4,3966,"Infant formula, NESTLE, GOOD START SOY, with DHA and ARA, liquid concentrate",NA,Baby food
331,11720612,"Good Start Soy, with iron, DHA & ARA, infant formula, prepared from liquid concentrate",4,14411,"Water, tap, drinking",NA,Baby food
332,11720613,"Good Start Soy, with iron, DHA & ARA, infant formula, prepared from powder",4,3867,"Infant formula, NESTLE, GOOD START SOY, with DHA AND ARA, powder",NA,Baby food
333,11720613,"Good Start Soy, with iron, DHA & ARA, infant formula, prepared from powder",4,14411,"Water, tap, drinking",NA,Baby food
334,11720703,"Next Step Prosobee, with iron, infant formula, prepared from powder (formerly Next Step Soy Toddler Formula)",4,3929,"Infant formula, MEAD JOHNSON, NEXT STEP PROSOBEE, powder, not reconstituted (formerly NEXT STEP SOY)",NA,Baby food
335,11720703,"Next Step Prosobee, with iron, infant formula, prepared from powder (formerly Next Step Soy Toddler Formula)",4,14411,"Water, tap, drinking",NA,Baby food
336,11720800,"America's Store Brand Soy, with iron, infant formula, NS as to form",4,3939,"Infant formula, PBM PRODUCTS, store brand, Soy, ready-to-feed, (formerly WYETH-AYERST)",NA,Baby food
